Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2022-09-18,Japi247,974400,0,,
2022-09-18,Rozenkwarts,889200,0,1426869,
2022-09-18,Jornmeijsen,3990000,11,,
2022-09-18,RedPolygon,3932400,0,579,
2022-09-18,iesdwoet,2318400,8,2894564,
2022-09-18,ngc_,5341200,0,23372,
2022-09-18,TuinSlipper,939600,0,3691,
2022-09-18,LuckyLuke1112,1908000,1,,
2022-09-19,Japi247,974400,0,,
2022-09-19,Rozenkwarts,889200,0,1426869,
2022-09-19,Jornmeijsen,3990000,11,,
2022-09-19,RedPolygon,4038000,0,579,
2022-09-19,iesdwoet,2318400,8,2894564,
2022-09-19,ngc_,5828400,0,23372,
2022-09-19,TuinSlipper,939600,0,3691,
2022-09-19,LuckyLuke1112,2293200,1,,
2022-09-20,Japi247,974400,0,,
2022-09-20,Rozenkwarts,889200,0,1426869,
2022-09-20,Jornmeijsen,3990000,11,,
2022-09-20,RedPolygon,4106400,0,579,
2022-09-20,iesdwoet,2318400,8,2894564,
2022-09-20,ngc_,5944800,0,23372,
2022-09-20,TuinSlipper,939600,0,3691,
2022-09-20,LuckyLuke1112,2293200,1,,
2022-09-21,Japi247,974400,0,,
2022-09-21,Rozenkwarts,889200,0,1426869,
2022-09-21,Jornmeijsen,3990000,11,,
2022-09-21,RedPolygon,4106400,0,579,
2022-09-21,iesdwoet,2318400,8,2894564,
2022-09-21,ngc_,6097200,0,23592,
2022-09-21,TuinSlipper,939600,0,3691,
2022-09-21,LuckyLuke1112,2454000,1,6566,
2022-09-22,Japi247,974400,0,,
2022-09-22,Rozenkwarts,889200,0,1426869,
2022-09-22,Jornmeijsen,3990000,11,,
2022-09-22,RedPolygon,4106400,0,579,
2022-09-22,iesdwoet,2318400,8,2894564,
2022-09-22,ngc_,6097200,0,23592,
2022-09-22,TuinSlipper,939600,0,3691,
2022-09-22,LuckyLuke1112,2454000,1,6566,
2022-09-23,Japi247,974400,0,,
2022-09-23,Rozenkwarts,990000,0,1426869,
2022-09-23,Jornmeijsen,4096800,11,,
2022-09-23,RedPolygon,4266000,0,579,
2022-09-23,iesdwoet,2318400,8,2894564,
2022-09-23,ngc_,6286800,0,23592,
2022-09-23,TuinSlipper,939600,0,3691,
2022-09-23,LuckyLuke1112,2602800,1,6566,
2022-09-24,Japi247,974400,0,,
2022-09-24,Rozenkwarts,990000,0,1426869,
